CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2
100725706.0,13.24016,13.26,0.014142135623730649,0.1483,0.13,0.007483314773547881,22.36,22.38,0.017078251276599225,0.92,0.91,0.01577973383805947,2.278646233681595
101086161.0,6.21238,6.21,0.0141421356237309,0.0892,0.07,0.004898979485566353,11.93,11.92,0.014142135623730649,0.82,0.83,0.015779733838059484,2.7004276109020986
101368192.0,4.25667,4.24,0.0141421356237309,0.0661,0.05,1.3877787807814457e-17,8.23,8.21,0.014142135623730649,0.48,0.51,0.017078251276599333,5.621596957703709
102671819.0,2.828042,2.85,0.014142135623730965,0.1309,0.12,0.007423074889580903,7.81,7.81,0.014142135623731027,0.63,0.66,0.015583874449479607,2.242895865633987
102764809.0,4.037928,4.06,0.0141421356237309,0.1116,0.11,0.004898979485566355,9.13,9.15,0.014142135623731402,0.74,0.77,0.007483314773547889,10.88697117933527
102890318.0,1.508956,1.53,0.017078251276599347,0.141,0.13,2.7755575615628914e-17,4.62,4.62,0.014142135623730899,0.51,0.54,2.220446049250313e-16,47.74381063122205
102912369.0,9.201536,9.19,0.014142135623731402,0.1021,0.08,0.0,17.03,17.06,0.017078251276598705,0.01,0.03,0.007071067811865475,185.92858346281542
105209106.0,4.204644,4.22,0.0141421356237309,0.0771,0.06,6.938893903907228e-18,6.2,6.22,0.0141421356237309,0.0,0.02,0.0047140452079103175,7.035903931703344
105793995.0,4.860616,4.84,0.014142135623731025,0.1599,0.14,0.012824244525002282,9.66,9.64,0.014142135623730649,1.04,1.02,0.015844232311555316,0.7235909376335824
105819653.0,9.756373,9.76,0.014142135623730649,0.0468,0.04,0.005000000000000001,13.06,13.07,0.01414213562373115,0.66,0.69,0.01707825127659932,0.5526142602049098
105833549.0,2.994279,3.01,0.014142135623730838,0.1039,0.1,2.7755575615628914e-17,6.71,6.73,0.0141421356237309,0.83,0.86,0.011180339887498957,1.3194366624655776
105891283.0,95.270554,95.29,0.014142135623732156,0.1282,0.11,2.7755575615628914e-17,97.61,97.63,0.014142135623730148,0.0,0.02,0.0047140452079103175,210.13278011937692
106017681.0,8.886623,8.91,0.01414213562373115,0.1122,0.09,1.3877787807814457e-17,18.61,18.62,0.017078251276599225,0.0,0.02,0.004714045207910317,9.291847986322525
110839339.0,4.035144,4.02,0.0141421356237309,0.0941,0.07,0.0049999999999999975,9.21,9.19,0.014142135623731403,0.64,0.67,0.017078251276599347,1.7909683851947467
315198039.0,3.896914,3.92,0.014142135623730961,0.0758,0.06,6.938893903907228e-18,6.92,6.94,0.014142135623730899,0.0,0.02,0.0047140452079103175,250.3341789966166
315211361.0,1.900078,1.88,0.017078251276599347,0.1383,0.12,2.7755575615628914e-17,6.34,6.32,0.014142135623730899,0.44,0.46,1.6653345369377348e-16,57.86352750686927
315239728.0,9.243751,9.26,0.014142135623730649,0.0801,0.06,6.938893903907228e-18,35.22,35.25,0.017078251276598705,0.0,0.02,0.004714045207910317,118.50565635960665
652180991.0,5.208129,5.23,0.0141421356237309,0.0585,0.05,1.3877787807814457e-17,5.65,5.66,0.014142135623731027,0.67,0.7,0.0170782512765993,2.024188864911732
